sheepX,sheepY,wolfX,wolfY
1381,122,1381,66
1382,124,1382,66
1383,124,1383,66
1384,126,1384,66
1385,127,1385,66
1386,130,1386,66
1387,129,1387,66
1388,125,1388,66
1389,120,1389,66
1390,118,1390,66
1391,116,1391,66
1392,115,1392,66
1393,116,1393,66
1394,119,1394,66
1395,120,1395,66
1396,119,1396,66
1397,118,1397,66
1398,118,1398,66
1399,123,1399,66
1400,123,1400,66
1401,120,1401,66
1402,122,1402,66
1403,123,1403,66
1404,121,1404,66
1405,118,1405,66
1406,119,1406,66
1407,119,1407,66
1408,120,1408,66
1409,121,1409,66
1410,120,1410,66
1411,123,1411,66
1412,123,1412,66
1413,123,1413,66
1414,121,1414,66
1415,123,1415,66
1416,123,1416,66
1417,123,1417,66
1418,124,1418,66
1419,122,1419,66
1420,123,1420,66
1421,125,1421,66
1422,126,1422,66
1423,126,1423,66
1424,125,1424,66
1425,124,1425,66
1426,125,1426,66
1427,125,1427,66
1428,128,1428,66
1429,132,1429,66
1430,140,1430,66
1431,137,1431,66
1432,139,1432,66
1433,139,1433,66
1434,141,1434,66
1435,143,1435,66
1436,139,1436,66
1437,143,1437,66
1438,145,1438,66
1439,145,1439,66
1440,145,1440,66
1441,146,1441,66
1442,143,1442,66
1443,143,1443,66
1444,141,1444,66
1445,141,1445,66
1446,143,1446,66
1447,137,1447,66
1448,136,1448,66
1449,137,1449,66
1450,134,1450,66
1451,132,1451,66
1452,130,1452,66
1453,130,1453,66
1454,131,1454,66
1455,133,1455,66
1456,132,1456,66
1457,132,1457,66
1458,133,1458,66
1459,132,1459,66
1460,131,1460,66
1461,130,1461,66
1462,130,1462,66
1463,128,1463,66
1464,132,1464,66
1465,134,1465,66
1466,134,1466,66
1467,135,1467,66
1468,134,1468,66
1469,134,1469,66
1470,139,1470,66
1471,142,1471,66
1472,141,1472,66
1473,137,1473,66
1474,137,1474,66
1475,137,1475,66
1476,137,1476,66
1477,133,1477,66
1478,131,1478,66
1479,130,1479,66
1480,128,1480,66
1481,129,1481,66
1482,129,1482,66
1483,127,1483,66
1484,124,1484,66
1485,122,1485,66
1486,121,1486,66
1487,124,1487,66
1488,121,1488,66
1489,125,1489,66
1490,127,1490,66
1491,126,1491,66
1492,125,1492,66
1493,125,1493,66
1494,127,1494,66
1495,128,1495,66
1496,127,1496,66
1497,127,1497,66
1498,127,1498,66
1499,125,1499,66
1500,126,1500,66
1501,125,1501,66
1502,130,1502,66
1503,127,1503,66
1504,129,1504,66
1505,126,1505,66
1506,127,1506,66
1507,122,1507,66
1508,121,1508,66
1509,120,1509,66
1510,119,1510,66
1511,119,1511,66
1512,119,1512,66
1513,123,1513,66
1514,122,1514,66
1515,122,1515,66
1516,122,1516,66
1517,124,1517,66
1518,125,1518,66
1519,125,1519,66
1520,127,1520,66
1521,126,1521,66
1522,129,1522,66
1523,131,1523,66
1524,136,1524,66
1525,140,1525,66
1526,139,1526,66
1527,140,1527,66
1528,142,1528,66
1529,140,1529,66
1530,142,1530,66
1531,143,1531,66
1532,145,1532,66
1533,149,1533,66
1534,148,1534,66
1535,144,1535,66
1536,144,1536,66
1537,147,1537,66
1538,146,1538,66
1539,146,1539,66
1540,148,1540,66
1541,150,1541,66
1542,153,1542,66
1543,158,1543,66
1544,157,1544,66
1545,163,1545,66
1546,165,1546,66
1547,160,1547,66
1548,161,1548,66
1549,165,1549,66
1550,164,1550,66
1551,165,1551,66
1552,166,1552,66
1553,168,1553,66
1554,167,1554,66
1555,164,1555,66
1556,165,1556,66
1557,165,1557,66
1558,166,1558,66
1559,160,1559,66
1560,158,1560,66
1561,160,1561,66
1562,160,1562,66
1563,160,1563,66
1564,158,1564,66
1565,155,1565,66
1566,155,1566,66
1567,154,1567,66
1568,160,1568,66
1569,159,1569,66
1570,158,1570,66
1571,158,1571,66
1572,160,1572,66
1573,158,1573,66
1574,159,1574,66
1575,160,1575,66
1576,162,1576,66
1577,163,1577,66
1578,166,1578,66
1579,167,1579,66
1580,171,1580,66
1581,176,1581,66
1582,178,1582,66
1583,177,1583,66
1584,179,1584,66
1585,178,1585,66
1586,178,1586,66
